iter	Passed	Remaining
755	10395	3355
756	10409	3341
757	10423	3327
758	10436	3313
759	10450	3300
760	10463	3286
761	10476	3272
762	10489	3258
763	10507	3245
764	10524	3233
765	10543	3220
766	10560	3207
767	10578	3195
768	10594	3182
769	10613	3170
770	10628	3156
771	10641	3142
772	10655	3129
773	10669	3115
774	10679	3100
775	10694	3087
776	10707	3073
777	10719	3058
778	10734	3045
779	10748	3031
780	10761	3017
781	10775	3003
782	10789	2990
783	10803	2976
784	10817	2962
785	10830	2948
786	10845	2935
787	10859	2921
788	10873	2907
789	10886	2893
790	10900	2880
791	10913	2866
792	10926	2852
793	10940	2838
794	10955	2824
795	10969	2811
796	10982	2797
797	10996	2783
798	11010	2769
799	11025	2756
800	11038	2742
801	11052	2728
802	11102	2723
803	11126	2712
804	11140	2698
805	11153	2684
806	11166	2670
807	11179	2656
808	11195	2643
809	11208	2629
810	11222	2615
811	11236	2601
812	11249	2587
813	11263	2573
814	11276	2559
815	11291	2546
816	11303	2531
817	11317	2517
818	11330	2503
819	11344	2490
820	11356	2475
821	11369	2462
822	11384	2448
823	11397	2434
824	11410	2420
825	11425	2406
826	11439	2393
827	11451	2378
828	11464	2364
829	11478	2351
830	11492	2337
831	11505	2323
832	11518	2309
833	11536	2296
834	11555	2283
835	11571	2269
836	11587	2256
837	11605	2243
838	11621	2230
839	11640	2217
840	11655	2203
841	11669	2189
842	11683	2175
843	11696	2161
844	11709	2147
845	11723	2134
846	11737	2120
847	11752	2106
848	11765	2092
849	11779	2078
850	11793	2064
851	11807	2051
852	11820	2037
853	11834	2023
854	11848	2009
855	11861	1995
856	11873	1981
857	11887	1967
858	11900	1953
859	11915	1939
860	11929	1925
861	11944	1912
862	11958	1898
863	11971	1884
864	11985	1870
865	12000	1856
866	12014	1843
867	12027	1829
868	12042	1815
869	12056	1801
870	12070	1787
871	12084	1773
872	12123	1763
873	12152	1751
874	12167	1738
875	12183	1724
876	12197	1710
877	12211	1696
878	12225	1682
879	12237	1668
880	12250	1654
881	12263	1640
882	12273	1626
883	12285	1612
884	12298	1598
885	12311	1584
886	12326	1570
887	12339	1556
888	12352	1542
889	12365	1528
890	12378	1514
891	12392	1500
892	12405	1486
893	12419	1472
894	12432	1458
895	12446	1444
896	12460	1430
897	12474	1416
898	12487	1402
899	12501	1389
900	12514	1375
901	12528	1361
902	12542	1347
903	12557	1333
904	12570	1319
905	12587	1306
906	12603	1292
907	12619	1278
908	12636	1265
909	12653	1251
910	12669	1237
911	12690	1224
912	12703	1210
913	12718	1196
914	12732	1182
915	12745	1168
916	12758	1154
917	12771	1140
918	12785	1126
919	12797	1112
920	12810	1098
921	12823	1084
922	12836	1070
923	12851	1057
924	12863	1043
925	12877	1029
926	12891	1015
927	12904	1001
928	12918	987
929	12931	973
930	12945	959
931	12957	945
932	12972	931
933	12985	917
934	12999	903
935	13014	889
936	13027	875
937	13041	862
938	13055	848
939	13067	834
940	13082	820
941	13096	806
942	13109	792
943	13123	778
944	13169	766
945	13194	753
946	13209	739
947	13223	725
948	13237	711
949	13250	697
950	13264	683
951	13277	669
952	13292	655
953	13306	641
954	13320	627
955	13334	613
956	13348	599
957	13361	585
958	13375	571
959	13390	557
960	13404	543
961	13418	530
962	13433	516
963	13446	502
964	13460	488
965	13474	474
966	13487	460
967	13501	446
968	13515	432
969	13530	418
970	13543	404
971	13557	390
972	13570	376
973	13585	362
974	13599	348
975	13614	334
976	13632	320
977	13651	307
978	13667	293
979	13684	279
980	13702	265
981	13722	251
982	13736	237
983	13750	223
984	13764	209
985	13778	195
986	13793	181
987	13807	167
988	13820	153
989	13833	139
990	13848	125
991	13862	111
992	13876	97
993	13889	83
994	13903	69
995	13916	55
996	13931	41
997	13944	27
998	13959	13
999	13973	0
