iter	AUC	Logloss
683	0.9508532092	0.2768978394
684	0.9509527454	0.2766563828
685	0.9510278919	0.2765449183
686	0.9510700794	0.2764817416
687	0.9511195178	0.2763986085
688	0.9511620349	0.2762861758
689	0.9512361927	0.2761437829
690	0.9513914295	0.2759111667
691	0.9514431751	0.2758154439
692	0.9516379627	0.2754194233
693	0.951681139	0.2753379224
694	0.9517022327	0.2753136273
695	0.9517869373	0.2751692829
696	0.9519240467	0.2749687014
697	0.951963927	0.2748707821
698	0.9521082874	0.2746327415
699	0.9521491565	0.2745633521
700	0.9523518543	0.2742801552
701	0.9524157947	0.2741622349
702	0.9525344471	0.2740223634
703	0.9526646351	0.2738291922
704	0.9527397816	0.2737105116
705	0.9528182239	0.2735954397
706	0.9528590931	0.2735301448
707	0.9529032581	0.2734732419
708	0.9529978504	0.2733559386
709	0.9531511097	0.2731427904
710	0.9532262562	0.273007006
711	0.9532872303	0.2729075539
712	0.9533590809	0.2727393783
713	0.9534836659	0.2725664254
714	0.953563097	0.2724313631
715	0.9536781239	0.2722492898
716	0.9537582142	0.2721326676
717	0.9537878773	0.2720833018
718	0.9539576161	0.271864619
719	0.9539658558	0.2718452394
720	0.953977721	0.2717756595
721	0.9540597889	0.2715633574
722	0.9540947254	0.2715125019
723	0.9541369129	0.2714651006
724	0.9541543812	0.2714291727
725	0.9542545765	0.2711963446
726	0.9543551014	0.2710877166
727	0.9544302479	0.2709976204
728	0.9545330799	0.2708292533
729	0.9546517323	0.2706446588
730	0.954740392	0.2705178532
731	0.9547733509	0.2704626646
732	0.9547822499	0.270455137
733	0.9549193593	0.2702900676
734	0.954973412	0.2702210568
735	0.9550844838	0.2700490752
736	0.9551688588	0.2698503305
737	0.9552512562	0.2697354546
738	0.9553267323	0.2696508223
739	0.9553596913	0.2695895331
740	0.9554730702	0.2693660479
741	0.9554961415	0.2692822582
742	0.9556780751	0.2690185734
743	0.9558036488	0.2688052886
744	0.955877477	0.2687273731
745	0.9558969228	0.2686794852
746	0.9559341664	0.2686178218
747	0.9559664662	0.268555445
748	0.956024474	0.2684517461
749	0.9560660023	0.2683455715
750	0.9560768788	0.2683098662
751	0.9561589467	0.2682065923
752	0.9561889394	0.2681878709
753	0.9563705434	0.2679374564
754	0.9564091054	0.2678203743
755	0.9564051503	0.2677663045
756	0.9564918324	0.2675721273
757	0.9565027089	0.2675130774
758	0.9565544545	0.267453135
759	0.9565699452	0.267378104
760	0.9567700063	0.2670320466
761	0.9568481191	0.2668783223
762	0.9569628163	0.2667049416
763	0.9570399404	0.2665922269
764	0.9571520009	0.2664340955
765	0.9571948476	0.2663945115
766	0.9572268178	0.2663719038
767	0.9572610951	0.2662741844
768	0.9573481069	0.2660921235
769	0.9573804067	0.2660622778
770	0.9574080922	0.2660072134
771	0.957513561	0.2658325486
772	0.957526415	0.2657382778
773	0.9576144155	0.265544951
774	0.957643749	0.2654568128
775	0.9576809926	0.2653879344
776	0.957816454	0.2651408303
