iter	Passed	Remaining
579	4945	3581
580	4954	3572
581	4962	3563
582	4970	3555
583	4979	3546
584	4988	3538
585	4996	3529
586	5005	3521
587	5014	3513
588	5023	3505
589	5031	3496
590	5040	3488
591	5049	3479
592	5057	3471
593	5066	3463
594	5075	3454
595	5084	3446
596	5093	3438
597	5101	3429
598	5110	3421
599	5120	3413
600	5129	3405
601	5138	3397
602	5147	3388
603	5155	3380
604	5164	3372
605	5174	3363
606	5183	3355
607	5192	3347
608	5201	3339
609	5209	3330
610	5218	3322
611	5227	3313
612	5235	3305
613	5244	3297
614	5252	3288
615	5261	3279
616	5270	3271
617	5279	3263
618	5288	3255
619	5296	3246
620	5305	3238
621	5314	3229
622	5322	3220
623	5331	3212
624	5340	3204
625	5349	3195
626	5357	3187
627	5366	3178
628	5375	3170
629	5384	3162
630	5391	3153
631	5400	3144
632	5409	3136
633	5418	3128
634	5427	3119
635	5436	3111
636	5445	3103
637	5453	3094
638	5462	3085
639	5471	3077
640	5479	3068
641	5488	3060
642	5497	3052
643	5506	3043
644	5516	3035
645	5524	3027
646	5534	3019
647	5543	3011
648	5551	3002
649	5560	2994
650	5569	2986
651	5578	2977
652	5587	2968
653	5596	2960
654	5605	2952
655	5614	2944
656	5623	2935
657	5631	2927
658	5640	2918
659	5649	2910
660	5658	2901
661	5667	2893
662	5676	2885
663	5684	2876
664	5693	2868
665	5702	2859
666	5711	2851
667	5719	2842
668	5728	2834
669	5737	2825
670	5745	2817
671	5753	2808
672	5762	2800
673	5770	2791
674	5779	2782
675	5788	2774
676	5797	2766
677	5813	2760
678	5822	2752
679	5831	2744
680	5840	2735
681	5849	2727
682	5857	2718
683	5865	2709
684	5873	2700
685	5881	2692
686	5890	2683
687	5899	2675
688	5908	2666
689	5916	2658
690	5925	2649
691	5934	2641
692	5943	2633
693	5952	2624
694	5960	2615
695	5969	2607
696	5978	2598
697	5987	2590
698	5995	2581
699	6004	2573
700	6013	2564
701	6022	2556
702	6031	2548
703	6040	2539
704	6049	2531
705	6057	2522
706	6065	2513
707	6073	2504
708	6082	2496
709	6091	2488
710	6099	2479
711	6108	2470
712	6117	2462
713	6125	2453
714	6134	2445
715	6143	2436
716	6152	2428
717	6161	2419
718	6170	2411
719	6178	2402
720	6187	2394
721	6195	2385
722	6204	2376
723	6212	2368
724	6222	2360
725	6230	2351
726	6239	2343
727	6248	2334
728	6257	2326
729	6266	2317
730	6275	2309
731	6284	2300
732	6293	2292
733	6302	2284
734	6312	2275
735	6321	2267
736	6329	2258
737	6338	2250
738	6346	2241
739	6355	2233
740	6365	2224
741	6374	2216
742	6382	2207
743	6391	2199
744	6400	2190
745	6406	2181
746	6415	2172
747	6425	2164
748	6434	2156
749	6443	2147
750	6452	2139
751	6460	2130
752	6469	2122
753	6479	2113
754	6487	2105
755	6496	2096
756	6505	2088
757	6513	2079
758	6522	2071
759	6531	2062
760	6539	2053
761	6549	2045
762	6557	2037
763	6566	2028
764	6575	2019
765	6584	2011
766	6592	2002
767	6602	1994
768	6610	1985
769	6619	1977
770	6628	1968
771	6636	1960
772	6646	1951
773	6654	1943
774	6663	1934
775	6672	1926
776	6681	1917
777	6690	1909
778	6698	1900
779	6706	1891
780	6715	1883
781	6724	1874
782	6733	1866
783	6743	1857
784	6752	1849
785	6761	1840
786	6769	1832
787	6779	1823
788	6787	1815
789	6796	1806
790	6805	1798
791	6813	1789
792	6821	1780
793	6830	1772
794	6839	1763
795	6848	1755
796	6857	1746
797	6867	1738
798	6876	1729
799	6884	1721
800	6893	1712
801	6901	1703
802	6910	1695
803	6919	1686
804	6928	1678
805	6937	1669
806	6945	1661
807	6954	1652
808	6964	1644
809	6972	1635
810	6981	1627
811	6989	1618
812	6998	1609
813	7007	1601
814	7015	1592
815	7024	1583
816	7033	1575
817	7042	1566
818	7051	1558
819	7060	1549
820	7069	1541
821	7078	1532
822	7087	1524
823	7097	1515
824	7106	1507
825	7115	1498
826	7123	1490
827	7133	1481
828	7142	1473
829	7151	1464
830	7159	1456
831	7168	1447
832	7177	1438
833	7186	1430
834	7195	1421
835	7204	1413
836	7214	1404
837	7223	1396
838	7232	1387
839	7241	1379
840	7251	1370
841	7259	1362
842	7268	1353
843	7277	1345
844	7286	1336
845	7295	1328
846	7304	1319
847	7313	1310
848	7322	1302
849	7330	1293
850	7339	1285
851	7348	1276
852	7357	1267
853	7364	1258
854	7373	1250
855	7381	1241
856	7390	1233
857	7398	1224
858	7407	1215
859	7417	1207
860	7426	1198
861	7434	1190
862	7443	1181
863	7452	1173
864	7461	1164
865	7470	1155
866	7480	1147
867	7489	1138
868	7497	1130
869	7506	1121
870	7515	1113
871	7523	1104
872	7531	1095
873	7540	1087
874	7548	1078
875	7557	1069
876	7566	1061
877	7575	1052
878	7584	1044
879	7592	1035
880	7601	1026
881	7610	1018
882	7619	1009
883	7628	1001
884	7636	992
885	7645	983
886	7654	975
887	7662	966
888	7671	957
889	7679	949
890	7688	940
891	7697	931
892	7705	923
893	7715	914
894	7724	906
895	7733	897
896	7742	889
897	7751	880
898	7760	871
899	7768	863
900	7777	854
901	7786	845
902	7795	837
903	7804	828
904	7814	820
905	7823	811
906	7832	803
907	7840	794
908	7849	785
909	7858	777
910	7866	768
911	7874	759
912	7883	751
913	7892	742
914	7900	733
915	7909	725
916	7918	716
917	7927	708
918	7936	699
919	7945	690
920	7953	682
921	7962	673
922	7971	665
923	7980	656
924	7989	647
925	7999	639
926	8008	630
927	8016	621
928	8025	613
929	8034	604
930	8043	596
931	8052	587
932	8061	578
933	8070	570
934	8078	561
935	8088	553
936	8097	544
937	8106	535
938	8115	527
939	8124	518
940	8133	509
941	8142	501
942	8152	492
943	8160	484
944	8169	475
945	8178	466
946	8187	458
947	8196	449
948	8205	440
949	8213	432
950	8222	423
951	8231	415
952	8240	406
953	8249	397
954	8258	389
955	8266	380
956	8275	371
957	8284	363
958	8294	354
959	8302	345
960	8311	337
961	8320	328
962	8328	320
963	8338	311
964	8347	302
965	8356	294
966	8365	285
967	8374	276
968	8383	268
969	8392	259
970	8401	250
971	8409	242
972	8418	233
973	8427	224
974	8437	216
975	8446	207
976	8455	199
977	8464	190
978	8473	181
979	8482	173
980	8491	164
981	8499	155
982	8509	147
983	8518	138
984	8526	129
985	8536	121
986	8545	112
987	8554	103
988	8563	95
989	8572	86
990	8580	77
991	8589	69
992	8598	60
993	8607	51
994	8616	43
995	8625	34
996	8634	25
997	8643	17
998	8652	8
999	8661	0
